Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
Mexico,MEX,GDP (current US$),2008,1161553459715.1,"Life expectancy at birth, total (years)",74.152
Peru,PER,GDP (current US$),2008,120550599815.441,"Life expectancy at birth, total (years)",73.377
United States,USA,GDP (current US$),2008,14769862000000.0,"Life expectancy at birth, total (years)",78.0390243902439
Chile,CHL,GDP (current US$),2009,171777900623.177,"Life expectancy at birth, total (years)",78.741
China,CHN,GDP (current US$),2009,5101691124285.21,"Life expectancy at birth, total (years)",75.343
United Kingdom,GBR,GDP (current US$),2009,2412840006231.5,"Life expectancy at birth, total (years)",80.0512195121951
Mexico,MEX,GDP (current US$),2009,943437415024.633,"Life expectancy at birth, total (years)",74.119
Peru,PER,GDP (current US$),2009,120822986521.479,"Life expectancy at birth, total (years)",73.466
United States,USA,GDP (current US$),2009,14478067000000.0,"Life expectancy at birth, total (years)",78.390243902439
Chile,CHL,GDP (current US$),2010,217051209240.298,"Life expectancy at birth, total (years)",78.501
China,CHN,GDP (current US$),2010,6087191746679.49,"Life expectancy at birth, total (years)",75.599
United Kingdom,GBR,GDP (current US$),2010,2485482596184.71,"Life expectancy at birth, total (years)",80.4024390243902
Mexico,MEX,GDP (current US$),2010,1105424238731.09,"Life expectancy at birth, total (years)",74.19
Peru,PER,GDP (current US$),2010,147527631520.729,"Life expectancy at birth, total (years)",73.711
United States,USA,GDP (current US$),2010,15048971000000.0,"Life expectancy at birth, total (years)",78.5414634146342
Chile,CHL,GDP (current US$),2011,251382573885.594,"Life expectancy at birth, total (years)",79.11
China,CHN,GDP (current US$),2011,7551545703440.75,"Life expectancy at birth, total (years)",75.903
United Kingdom,GBR,GDP (current US$),2011,2663805834828.07,"Life expectancy at birth, total (years)",80.9512195121951
Mexico,MEX,GDP (current US$),2011,1229013703416.76,"Life expectancy at birth, total (years)",74.365
Peru,PER,GDP (current US$),2011,171761737046.585,"Life expectancy at birth, total (years)",74.133
United States,USA,GDP (current US$),2011,15599732000000.0,"Life expectancy at birth, total (years)",78.6414634146341
Chile,CHL,GDP (current US$),2012,267024782480.28,"Life expectancy at birth, total (years)",79.023
China,CHN,GDP (current US$),2012,8532185381680.59,"Life expectancy at birth, total (years)",76.192
United Kingdom,GBR,GDP (current US$),2012,2707089726614.64,"Life expectancy at birth, total (years)",80.9048780487805
Mexico,MEX,GDP (current US$),2012,1255110424817.79,"Life expectancy at birth, total (years)",74.574
Peru,PER,GDP (current US$),2012,192650021648.583,"Life expectancy at birth, total (years)",74.544
United States,USA,GDP (current US$),2012,16253970000000.0,"Life expectancy at birth, total (years)",78.7414634146342
Chile,CHL,GDP (current US$),2013,277395018837.366,"Life expectancy at birth, total (years)",79.339
China,CHN,GDP (current US$),2013,9570471111831.68,"Life expectancy at birth, total (years)",76.452
United Kingdom,GBR,GDP (current US$),2013,2784853502534.29,"Life expectancy at birth, total (years)",81.0048780487805
Mexico,MEX,GDP (current US$),2013,1327436290282.67,"Life expectancy at birth, total (years)",74.739
Peru,PER,GDP (current US$),2013,201175543571.392,"Life expectancy at birth, total (years)",74.967
United States,USA,GDP (current US$),2013,16880683000000.0,"Life expectancy at birth, total (years)",78.7414634146342
Chile,CHL,GDP (current US$),2014,259560978231.552,"Life expectancy at birth, total (years)",79.473
China,CHN,GDP (current US$),2014,10475624944355.2,"Life expectancy at birth, total (years)",76.717
United Kingdom,GBR,GDP (current US$),2014,3064708247921.43,"Life expectancy at birth, total (years)",81.3048780487805
Mexico,MEX,GDP (current US$),2014,1364507717614.13,"Life expectancy at birth, total (years)",74.797
Peru,PER,GDP (current US$),2014,200786250582.943,"Life expectancy at birth, total (years)",75.333
United States,USA,GDP (current US$),2014,17608138000000.0,"Life expectancy at birth, total (years)",78.8414634146341
Chile,CHL,GDP (current US$),2015,242450355827.827,"Life expectancy at birth, total (years)",79.746
China,CHN,GDP (current US$),2015,11061572618578.7,"Life expectancy at birth, total (years)",76.977
United Kingdom,GBR,GDP (current US$),2015,2927911140916.73,"Life expectancy at birth, total (years)",80.9560975609756
Mexico,MEX,GDP (current US$),2015,1213294467716.88,"Life expectancy at birth, total (years)",74.682
Peru,PER,GDP (current US$),2015,189802976285.619,"Life expectancy at birth, total (years)",75.621
United States,USA,GDP (current US$),2015,18295019000000.0,"Life expectancy at birth, total (years)",78.690243902439
Chile,CHL,GDP (current US$),2016,249344863933.461,"Life expectancy at birth, total (years)",80.079
China,CHN,GDP (current US$),2016,11233313730348.7,"Life expectancy at birth, total (years)",77.218
United Kingdom,GBR,GDP (current US$),2016,2689106566899.61,"Life expectancy at birth, total (years)",81.1560975609756
Mexico,MEX,GDP (current US$),2016,1112233497452.7,"Life expectancy at birth, total (years)",74.412
Peru,PER,GDP (current US$),2016,191898104390.379,"Life expectancy at birth, total (years)",75.789
United States,USA,GDP (current US$),2016,18804913000000.0,"Life expectancy at birth, total (years)",78.5390243902439
Chile,CHL,GDP (current US$),2017,276154259987.103,"Life expectancy at birth, total (years)",80.35
China,CHN,GDP (current US$),2017,12310491333980.9,"Life expectancy at birth, total (years)",77.248
United Kingdom,GBR,GDP (current US$),2017,2680148052335.3,"Life expectancy at birth, total (years)",81.2560975609756
Mexico,MEX,GDP (current US$),2017,1190721475906.0,"Life expectancy at birth, total (years)",74.138
Peru,PER,GDP (current US$),2017,211007984080.911,"Life expectancy at birth, total (years)",75.879
United States,USA,GDP (current US$),2017,19612102000000.0,"Life expectancy at birth, total (years)",78.5390243902439
Chile,CHL,GDP (current US$),2018,295857562991.709,"Life expectancy at birth, total (years)",80.133
China,CHN,GDP (current US$),2018,13894907857880.6,"Life expectancy at birth, total (years)",77.744
United Kingdom,GBR,GDP (current US$),2018,2871340347581.79,"Life expectancy at birth, total (years)",81.2560975609756
Mexico,MEX,GDP (current US$),2018,1256300182879.73,"Life expectancy at birth, total (years)",74.015
Peru,PER,GDP (current US$),2018,222597009739.235,"Life expectancy at birth, total (years)",76.009
United States,USA,GDP (current US$),2018,20656516000000.0,"Life expectancy at birth, total (years)",78.6390243902439
Chile,CHL,GDP (current US$),2019,278285058719.466,"Life expectancy at birth, total (years)",80.326
China,CHN,GDP (current US$),2019,14279968506271.7,"Life expectancy at birth, total (years)",77.968
United Kingdom,GBR,GDP (current US$),2019,2851407164907.81,"Life expectancy at birth, total (years)",81.4048780487805
Mexico,MEX,GDP (current US$),2019,1305211135822.61,"Life expectancy at birth, total (years)",74.202
Peru,PER,GDP (current US$),2019,228346006003.648,"Life expectancy at birth, total (years)",76.156
United States,USA,GDP (current US$),2019,21521395000000.0,"Life expectancy at birth, total (years)",78.7878048780488
Chile,CHL,GDP (current US$),2020,254042159309.311,"Life expectancy at birth, total (years)",79.377
China,CHN,GDP (current US$),2020,14687744162801.0,"Life expectancy at birth, total (years)",78.077
United Kingdom,GBR,GDP (current US$),2020,2697806592293.86,"Life expectancy at birth, total (years)",80.3512195121951
Mexico,MEX,GDP (current US$),2020,1120832412468.85,"Life expectancy at birth, total (years)",70.133
Peru,PER,GDP (current US$),2020,201409694755.934,"Life expectancy at birth, total (years)",73.665
United States,USA,GDP (current US$),2020,21322950000000.0,"Life expectancy at birth, total (years)",76.9804878048781
Chile,CHL,GDP (current US$),2021,315515014838.539,"Life expectancy at birth, total (years)",78.944
China,CHN,GDP (current US$),2021,17820459508852.2,"Life expectancy at birth, total (years)",78.211
United Kingdom,GBR,GDP (current US$),2021,3141506156618.7,"Life expectancy at birth, total (years)",80.7
Mexico,MEX,GDP (current US$),2021,1313069763986.6,"Life expectancy at birth, total (years)",70.213
Peru,PER,GDP (current US$),2021,226354278280.885,"Life expectancy at birth, total (years)",72.377
United States,USA,GDP (current US$),2021,23594031000000.0,"Life expectancy at birth, total (years)",76.3292682926829
Chile,CHL,GDP (current US$),2022,302116539409.03,"Life expectancy at birth, total (years)",79.519
China,CHN,GDP (current US$),2022,17881783387000.9,"Life expectancy at birth, total (years)",78.587
United Kingdom,GBR,GDP (current US$),2022,3088839763445.02,"Life expectancy at birth, total (years)",82.0585365853659
Mexico,MEX,GDP (current US$),2022,1463323889036.56,"Life expectancy at birth, total (years)",74.832
Peru,PER,GDP (current US$),2022,246488757636.211,"Life expectancy at birth, total (years)",73.385
United States,USA,GDP (current US$),2022,25744108000000.0,"Life expectancy at birth, total (years)",77.4341463414634
Chile,CHL,GDP (current US$),2023,335533331669.219,"Life expectancy at birth, total (years)",
China,CHN,GDP (current US$),2023,17794781986104.5,"Life expectancy at birth, total (years)",
United Kingdom,GBR,GDP (current US$),2023,3340032380668.04,"Life expectancy at birth, total (years)",
Mexico,MEX,GDP (current US$),2023,1788886821046.81,"Life expectancy at birth, total (years)",
Peru,PER,GDP (current US$),2023,267603248655.253,"Life expectancy at birth, total (years)",
United States,USA,GDP (current US$),2023,27360935000000.0,"Life expectancy at birth, total (years)",
