Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
United States,USA,GDP (current US$),1969,1017438172413.79,"Life expectancy at birth, total (years)",70.5073170731708
Chile,CHL,GDP (current US$),1970,9144112431.28214,"Life expectancy at birth, total (years)",62.491
China,CHN,GDP (current US$),1970,92602634891.6589,"Life expectancy at birth, total (years)",56.607
United Kingdom,GBR,GDP (current US$),1970,130671946244.3,"Life expectancy at birth, total (years)",71.9731707317073
Mexico,MEX,GDP (current US$),1970,35520000000.0,"Life expectancy at birth, total (years)",60.69
Peru,PER,GDP (current US$),1970,,"Life expectancy at birth, total (years)",47.16
United States,USA,GDP (current US$),1970,1073303000000.0,"Life expectancy at birth, total (years)",70.8073170731707
Chile,CHL,GDP (current US$),1971,10876091407.9777,"Life expectancy at birth, total (years)",62.732
China,CHN,GDP (current US$),1971,99800593790.9886,"Life expectancy at birth, total (years)",57.565
United Kingdom,GBR,GDP (current US$),1971,148113896325.14,"Life expectancy at birth, total (years)",72.2731707317073
Mexico,MEX,GDP (current US$),1971,39200000000.0,"Life expectancy at birth, total (years)",61.155
Peru,PER,GDP (current US$),1971,,"Life expectancy at birth, total (years)",56.163
United States,USA,GDP (current US$),1971,1164850000000.0,"Life expectancy at birth, total (years)",71.1073170731707
Chile,CHL,GDP (current US$),1972,11833904487.641,"Life expectancy at birth, total (years)",62.281
China,CHN,GDP (current US$),1972,113689308020.343,"Life expectancy at birth, total (years)",58.418
United Kingdom,GBR,GDP (current US$),1972,169965034965.035,"Life expectancy at birth, total (years)",72.1243902439024
Mexico,MEX,GDP (current US$),1972,45200000000.0,"Life expectancy at birth, total (years)",61.614
Peru,PER,GDP (current US$),1972,,"Life expectancy at birth, total (years)",56.737
United States,USA,GDP (current US$),1972,1279110000000.0,"Life expectancy at birth, total (years)",71.1560975609756
Chile,CHL,GDP (current US$),1973,16826390943.8597,"Life expectancy at birth, total (years)",63.905
China,CHN,GDP (current US$),1973,138543170458.064,"Life expectancy at birth, total (years)",59.389
United Kingdom,GBR,GDP (current US$),1973,192537971582.558,"Life expectancy at birth, total (years)",72.3243902439024
